generation,gene_0_mean,gene_0_std,gene_0_min,gene_0_max,gene_1_mean,gene_1_std,gene_1_min,gene_1_max,gene_2_mean,gene_2_std,gene_2_min,gene_2_max,gene_3_mean,gene_3_std,gene_3_min,gene_3_max
0,20.550000,3.840247,14.000000,25.000000,20.550000,2.836812,14.000000,25.000000,20.200000,2.767671,16.000000,25.000000,19.150000,3.664355,14.000000,25.000000
1,22.240000,2.511454,14.800000,27.100000,20.755000,2.332054,16.000000,25.000000,20.580000,2.442458,16.000000,25.100000,19.275000,3.190592,13.000000,25.000000
2,22.220000,2.625186,13.800000,26.000000,21.830000,2.793582,17.700000,27.900000,20.200000,2.938707,14.900000,25.100000,20.760000,4.166821,15.000000,26.700000
3,22.595000,1.926000,17.500000,25.900000,21.040000,2.403830,15.900000,23.700000,20.115000,2.949453,14.900000,24.500000,19.970000,3.954757,15.000000,24.900000
4,21.505000,2.252216,17.500000,25.900000,20.885000,1.744785,16.500000,22.700000,21.065000,2.861341,16.000000,26.000000,19.785000,4.220459,15.400000,27.400000
5,20.620000,2.671816,15.600000,25.900000,21.505000,2.011585,17.900000,26.100000,20.725000,2.193371,18.900000,25.700000,17.820000,4.860309,10.600000,27.400000
6,21.130000,3.023260,10.800000,25.200000,20.750000,1.791787,17.800000,24.000000,21.295000,2.625352,17.700000,27.200000,19.535000,5.396598,10.600000,27.400000
7,21.625000,2.110894,16.600000,25.200000,20.250000,2.267488,17.000000,24.600000,20.095000,2.473151,15.800000,27.200000,19.545000,6.131433,10.000000,27.900000
8,22.675000,2.247638,17.000000,26.000000,20.285000,2.346332,14.800000,24.300000,20.020000,2.652848,16.400000,27.200000,18.800000,7.139958,10.000000,30.000000
9,23.855000,1.936356,20.300000,28.900000,20.490000,1.795801,16.700000,24.200000,22.070000,2.964304,14.200000,27.200000,17.250000,7.160482,10.000000,28.500000
10,22.950000,1.844044,20.000000,25.800000,20.795000,2.405094,16.400000,26.700000,22.720000,1.603621,18.000000,25.500000,11.430000,4.300012,10.000000,30.000000
11,22.515000,1.693303,19.700000,25.700000,20.035000,2.187527,16.500000,27.500000,23.580000,1.351518,21.800000,27.400000,10.620000,0.797245,10.000000,12.800000
12,22.870000,2.490402,16.900000,26.800000,20.460000,1.754252,18.300000,24.400000,24.425000,2.389953,20.700000,30.000000,10.645000,0.913496,10.000000,13.100000
13,21.935000,3.047339,16.000000,27.500000,20.420000,1.757726,18.300000,25.600000,24.990000,3.191692,19.700000,30.000000,10.775000,1.018762,10.000000,13.500000
14,22.270000,2.506611,17.500000,25.300000,20.510000,2.937669,15.400000,25.600000,28.270000,2.288908,21.800000,30.000000,10.580000,0.704699,10.000000,12.600000
15,20.535000,2.597937,17.500000,23.900000,20.900000,3.317981,16.000000,29.000000,29.290000,0.994937,26.700000,30.000000,10.985000,0.937163,10.000000,13.400000
16,19.295000,2.903184,15.600000,26.700000,19.710000,3.602763,12.100000,29.000000,29.635000,0.585897,28.200000,30.000000,11.180000,1.395923,10.000000,15.000000
17,19.150000,2.800089,14.500000,26.300000,20.565000,2.725119,15.200000,26.000000,29.460000,0.790190,27.700000,30.000000,11.745000,1.979261,10.000000,17.000000
18,19.565000,3.972062,14.700000,27.600000,20.535000,2.343560,15.400000,24.200000,29.715000,0.721994,27.000000,30.000000,10.975000,1.147552,10.000000,14.500000
19,17.280000,2.722425,12.900000,25.600000,20.995000,2.011088,18.500000,25.900000,29.870000,0.464866,27.900000,30.000000,10.600000,1.001998,10.000000,13.900000
20,16.270000,2.335401,10.000000,19.300000,19.935000,1.538270,15.900000,22.700000,29.755000,0.657628,27.500000,30.000000,10.510000,0.767398,10.000000,12.900000
21,16.070000,1.994517,12.600000,18.400000,19.445000,2.109615,15.500000,23.000000,29.685000,0.810108,26.700000,30.000000,10.460000,0.672607,10.000000,12.500000
22,15.500000,2.979429,10.000000,19.900000,18.080000,1.839728,14.900000,22.200000,29.415000,1.397238,24.900000,30.000000,10.410000,0.724500,10.000000,12.500000
23,16.525000,2.486137,10.500000,20.200000,17.950000,2.199659,13.300000,21.900000,29.685000,0.598561,27.800000,30.000000,10.385000,0.666540,10.000000,12.100000
24,16.875000,2.349016,10.500000,20.200000,19.745000,2.212346,14.200000,23.500000,29.565000,1.056539,25.400000,30.000000,10.765000,1.225673,10.000000,13.800000
